Tus preferencias	Mostrar título del puesto de la oferta de empleo	Id. de oferta de empleo	Fecha de publicación de la oferta de empleo	Publicación - Fecha de caducidad	Publicación de la oferta de empleo - Centro Profesional	Número de candidatos de la oferta de empleo	Lugar de la oferta de empleo
BANCA MINORISTA/RETAIL/RED	GESTOR COMERCIAL CONTIGO CBC PROVINCIA MURCIA	req10393	04/05/2018 02:00	11/05/2018	Yes	0	Murcia
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 4 RED BC	req10416	07/05/2018 02:00	20/05/2018	Yes	0	Teruel
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 3 RED BC	req10426	07/05/2018 02:00	20/05/2018	Yes	0	Teruel
BANCA MINORISTA/RETAIL/RED	GESTOR PAES CONTIGO CBC Prov.Girona	req10465	07/05/2018 02:00	26/05/2018	Yes	0	Girona
BANCA MINORISTA/RETAIL/RED	GESTOR PAES CONTIGO CBC  Prov.Tarragona	req10473	07/05/2018 02:00	26/05/2018	Yes	0	Tarragona
BANCA MINORISTA/RETAIL/RED	GESTOR PAES CONTIGO CBC Prov.Lleida	req10475	07/05/2018 02:00	26/05/2018	Yes	0	Lleida
BANCA MINORISTA/RETAIL/RED	GESTOR PAES CONTIGO CBC Provincia Barcelona	req10482	07/05/2018 02:00	26/05/2018	Yes	0	Barcelona
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 7 RED BC	req10492	07/05/2018 02:00	20/05/2018	Yes	0	La Rioja
BANCA MINORISTA/RETAIL/RED	GESTOR PYMES - TENERIFE	req10530	22/05/2018 02:00	24/05/2018	Yes	0	Sta Cruz de Tenerife
BANCA MINORISTA/RETAIL/RED	GESTOR PYMES - FUERTEVENTURA	req10531	22/05/2018 02:00	24/05/2018	Yes	0	PUERTO DEL ROSARIO
BANCA MINORISTA/RETAIL/RED	BANQUERO PRIVADO (Provincia Las Palmas)	req10533	01/06/2018 02:00	08/06/2018	Yes	0	Las Palmas
ENGINEERING	Manager Datio - Arquitectura de Datos	req10545	07/05/2018 02:00	21/05/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	DIRECTOR OFICINA 6-LOGROSÁN  (CÁCERES)	req10551	11/05/2018 02:00	18/05/2018	Yes	0	LOGROSAN
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 5 Prov. Lleida	req10553	08/05/2018 02:00	20/05/2018	Yes	0	Lleida
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 4 Prov.Tarragona	req10555	08/05/2018 02:00	20/05/2018	Yes	0	Tarragona
ENGINEERING	MANAGER GOBIERNO DEL DATO - ARQUITECTURA DE DATOS	req10617	08/05/2018 02:00	24/05/2018	Yes	0	Spain
ENGINEERING	Transformación Global de Gestión de la Demanda Técnica	req10660	09/05/2018 02:00	16/05/2018	Yes	0	EDIFICIO TRES CANTOS
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL CONTIGO 3	req10667	11/05/2018 02:00	16/05/2018	Yes	0	REINOSA-MAYOR
BANCA MINORISTA/RETAIL/RED	GESTOR COMERCIAL CF	req10732	10/05/2018 02:00	20/05/2018	Yes	0	ED. JULIAN CAMARILLO
BANCA MINORISTA/RETAIL/RED	GESTOR/A BANCA PERSONAL OFICINA ASTURIAS	req10781	11/05/2018 02:00	20/05/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	GESTOR/A BANCA PERSONAL OFICINA CASTILLA Y LEÓN	req10782	11/05/2018 02:00	20/05/2018	Yes	0	Spain
BANCA DE EMPRESAS,INSTITUCIONES,CORPORATIVAS	JEFE DE EQUIPO/PROYECTO ESPAÑA	req10784	18/05/2018 02:00	03/06/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	GESTOR PYMES CBC - PROVINCIA CÁCERES	req10785	14/05/2018 02:00	04/06/2018	Yes	0	Cáceres
BANCA MINORISTA/RETAIL/RED	GESTOR/A BANCA PERSONAL OFICINA GALICIA	req10788	11/05/2018 02:00	20/05/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	GESTOR/A BANCA PERSONAL CONTIGO ASTURIAS	req10790	11/05/2018 02:00	20/05/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	GESTOR/A BANCA PERSONAL CONTIGO CASTILLA Y LEÓN	req10792	11/05/2018 02:00	20/05/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	GESTOR/A BANCA PERSONAL CONTIGO GALICIA	req10794	11/05/2018 02:00	20/05/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	GESTOR/A PYMES ASTURIAS	req10795	11/05/2018 02:00	20/05/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	GESTOR/A PYMES CASTILLA Y LEÓN	req10796	11/05/2018 02:00	20/05/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	GESTOR/A PYMES GALICIA	req10797	11/05/2018 02:00	31/05/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	DIRECCIÓN COMERCIAL CONTIGO ASTURIAS	req10799	11/05/2018 02:00	20/05/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	DIRECCIÓN COMERCIAL CONTIGO CASTILLA Y LEÓN	req10800	11/05/2018 02:00	20/05/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	DIRECCIÓN COMERCIAL CONTIGO GALICIA	req10801	11/05/2018 02:00	20/05/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL - PROVINCIA CÁCERES	req10841	14/05/2018 02:00	04/06/2018	Yes	0	Cáceres
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL - PROVINCIA BADAJOZ	req10842	14/05/2018 02:00	04/06/2018	Yes	0	Badajoz
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 4 BC - PROVINCIA CÁCERES	req10844	14/05/2018 02:00	04/06/2018	Yes	0	Cáceres
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 6 BC - PROVINCIA CÁCERES	req10845	14/05/2018 02:00	04/06/2018	Yes	0	Cáceres
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL CONTIGO - SEVILLA	req10907	18/05/2018 02:00	09/06/2018	Yes	0	Sevilla
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL  CBC	req10908	18/05/2018 02:00	25/05/2018	Yes	0	Alicante
BANCA MINORISTA/RETAIL/RED	GESTOR RIESGOS VENCIDOS	req11234	18/05/2018 02:00	25/05/2018	Yes	0	DENIA-MQUES CAMPO,29
BANCA MINORISTA/RETAIL/RED	GESTOR PYMES CBC - PROVINCIA JAÉN	req11235	21/05/2018 02:00	11/06/2018	Yes	0	Jaén
BANCA MINORISTA/RETAIL/RED	GESTOR PYMES CBC	req11239	18/05/2018 02:00	25/05/2018	Yes	0	BENIDORM-PUENTE
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL OFICINA - PROVINCIA JAÉN	req11241	21/05/2018 02:00	11/06/2018	Yes	0	Jaén
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL OFICINA - PROVINCIA CÓRDOBA	req11242	21/05/2018 02:00	11/06/2018	Yes	0	Córdoba
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 4 BC - PROVINCIA JAÉN	req11243	21/05/2018 02:00	11/06/2018	Yes	0	Jaén
BANCA MINORISTA/RETAIL/RED	GESTOR COMERCIAL CONTIGO CBC	req11244	04/06/2018 02:00	07/06/2018	Yes	0	VALENCIA-WAKSMAN
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 4 BC - PROVINCIA CÓRDOBA	req11245	21/05/2018 02:00	11/06/2018	Yes	0	Córdoba
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 6 BC - PROVINCIA JAÉN	req11246	21/05/2018 02:00	11/06/2018	Yes	0	Jaén
BANCA DE EMPRESAS,INSTITUCIONES,CORPORATIVAS	DTOR OFICINA BANCA EMPRESAS 3 - DR SUR	req11252	21/05/2018 02:00	18/06/2018	Yes	0	DR SUR EMPRESAS
BANCA DE EMPRESAS,INSTITUCIONES,CORPORATIVAS	DTOR OFICINA BANCA EMPRESAS 4 - DR SUR	req11253	21/05/2018 02:00	18/06/2018	Yes	0	DR SUR EMPRESAS
BANCA DE EMPRESAS,INSTITUCIONES,CORPORATIVAS	DIRECTOR COMERCIAL DE EMPRESA - DR SUR	req11254	21/05/2018 02:00	18/06/2018	Yes	0	DR SUR EMPRESAS
ENGINEERING	TECNICO DE RIESGOS DEVELOPMENT GROUP	req11304	25/05/2018 02:00	03/06/2018	Yes	0	MADRID-CIUDAD BBVA
BANCA MINORISTA/RETAIL/RED	GESTOR PYMES CBC - PROVINCIA CÁDIZ	req11305	28/05/2018 02:00	18/06/2018	Yes	0	Cádiz
BANCA MINORISTA/RETAIL/RED	GESTOR PYMES CBC - PROVINCIA GRANADA	req11307	28/05/2018 02:00	18/06/2018	Yes	0	Granada
BANCA MINORISTA/RETAIL/RED	GESTOR PYMES CBC - PROVINCIA ALMERÍA	req11309	28/05/2018 02:00	18/06/2018	Yes	0	Almería
CIB	IaaS and Middleware Architect Junior	req11312	28/05/2018 02:00	05/06/2018	Yes	0	EDIF. LAS TABLAS III
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL OFICINA - PROVINCIA CÁDIZ	req11426	28/05/2018 02:00	18/06/2018	Yes	0	Cádiz
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL OFICINA - PROVINCIA ALMERÍA	req11431	28/05/2018 02:00	18/06/2018	Yes	0	Almería
ENGINEERING	Business Analyst Sistemas de Contratación	req11434	25/05/2018 02:00	11/06/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 4 BC - PROVINCIA GRANADA	req11437	28/05/2018 02:00	18/06/2018	Yes	0	Granada
ENGINEERING	Core functional API Catalog	req11438	30/05/2018 02:00	13/06/2018	Yes	0	EDIF. VAGUADA
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 4 BC - PROVINCIA ALMERÍA	req11439	28/05/2018 02:00	18/06/2018	Yes	0	Almería
ENGINEERING	Core functional API Catalog	req11440	30/05/2018 02:00	13/06/2018	Yes	0	EDIF. VAGUADA
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 6 BC - PROVINCIA CÁDIZ	req11441	28/05/2018 02:00	18/06/2018	Yes	0	Cádiz
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 6 BC - PROVINCIA GRANADA	req11443	28/05/2018 02:00	18/06/2018	Yes	0	Granada
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL 1 OFICINA	req11444	25/05/2018 02:00	03/06/2018	Yes	0	S.SEB-ANTIGUO
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 6 BC - PROVINCIA ALMERÍA	req11446	28/05/2018 02:00	18/06/2018	Yes	0	Almería
BANCA MINORISTA/RETAIL/RED	GESTOR PYMES CBC - PROVINCIA SEVILLA	req11447	28/05/2018 02:00	18/06/2018	Yes	0	Sevilla
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 6 BC - PROVINCIA SEVILLA	req11449	28/05/2018 02:00	18/06/2018	Yes	0	Sevilla
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 4 BC - PROVINCIA SEVILLA	req11451	28/05/2018 02:00	18/06/2018	Yes	0	Sevilla
CUSTOMER & CLIENT SOLUTIONS	Business Analyst	req11465	28/05/2018 02:00	04/06/2018	Yes	0	Spain
CUSTOMER & CLIENT SOLUTIONS	Product Owner Decentralized Team	req11467	28/05/2018 02:00	04/06/2018	Yes	0	Spain
CIB	Junior M&A Specialist	req11513	30/05/2018 02:00	10/06/2018	Yes	0	Spain
TALENT & CULTURE	DIRECCIÓN TYC TERRITORIO	req11515	31/05/2018 02:00	17/06/2018	Yes	0	Spain
ENGINEERING	Global Deployment - Ether Adoption Manager	req11517	30/05/2018 02:00	13/06/2018	Yes	0	EDIF. VAGUADA
BANCA MINORISTA/RETAIL/RED	GESTOR COMERCIAL CONTIGO CBC - MÁLAGA GIRASOLES	req11600	27/05/2018 02:00	04/06/2018	Yes	0	MALAGA-GIRASOLES
BANCA MINORISTA/RETAIL/RED	GESTOR COMERCIAL CONTIGO CBC - MELILLA	req11602	27/05/2018 02:00	04/06/2018	Yes	0	Melilla
BANCA MINORISTA/RETAIL/RED	GESTOR RELACION I - DR SUR	req11603	28/05/2018 02:00	25/06/2018	Yes	0	DR SUR EMPRESAS
BANCA DE EMPRESAS,INSTITUCIONES,CORPORATIVAS	GESTOR RELACION II - DR SUR	req11604	28/05/2018 02:00	25/06/2018	Yes	0	DR SUR EMPRESAS
CUSTOMER & CLIENT SOLUTIONS	SENIOR ANALYST ÁREA TECNICA DE PENSIONES	req11606	28/05/2018 02:00	10/06/2018	Yes	0	CIUDAD BBVA
BANCA DE EMPRESAS,INSTITUCIONES,CORPORATIVAS	GESTOR NEGOCIO TRANSACCIONAL - DR SUR	req11607	28/05/2018 02:00	25/06/2018	Yes	0	DR SUR EMPRESAS
ENGINEERING	DATA SCIENTIST	req11608	28/05/2018 02:00	10/06/2018	Yes	0	CIUDAD BBVA
FINANCE	Finance Strategy Analyst	req11609	30/05/2018 02:00	11/06/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	BANQUERO PRIVADO (Provincia Santa Cruz de Tenerife)	req11670	01/06/2018 02:00	08/06/2018	Yes	0	Sta Cruz de Tenerife
BANCA MINORISTA/RETAIL/RED	DIRECTOR CBC 1	req11671	01/06/2018 02:00	08/06/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	DIRECTOR CBC 1	req11671	01/06/2018 02:00	08/06/2018	Yes	0	Las Palmas
BANCA MINORISTA/RETAIL/RED	DIRECTOR CBC 1	req11671	01/06/2018 02:00	08/06/2018	Yes	0	Sta Cruz de Tenerife
BANCA MINORISTA/RETAIL/RED	DIRECTOR CBC 2	req11672	01/06/2018 02:00	08/06/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	DIRECTOR CBC 2	req11672	01/06/2018 02:00	08/06/2018	Yes	0	Las Palmas
BANCA MINORISTA/RETAIL/RED	DIRECTOR CBC 2	req11672	01/06/2018 02:00	08/06/2018	Yes	0	Sta Cruz de Tenerife
BANCA MINORISTA/RETAIL/RED	DIRECTOR CBC 3	req11673	01/06/2018 02:00	08/06/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	DIRECTOR CBC 3	req11673	01/06/2018 02:00	08/06/2018	Yes	0	Las Palmas
BANCA MINORISTA/RETAIL/RED	DIRECTOR CBC 3	req11673	01/06/2018 02:00	08/06/2018	Yes	0	Sta Cruz de Tenerife
CUSTOMER & CLIENT SOLUTIONS	Product Innovation Manager for Tuyyo.	req11680	28/05/2018 02:00	03/06/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	DIRECCIÓN DE ZONA BANCA COMERCIAL	req11688	31/05/2018 02:00	17/06/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	DIRECCIÓN TRANSFORMACIÓN Y PRODUCTIVIDAD	req11691	31/05/2018 02:00	17/06/2018	Yes	0	Spain
CUSTOMER & CLIENT SOLUTIONS	Diseñador/Visualizador de Datos	req11705	29/05/2018 02:00	05/06/2018	Yes	0	Spain
CUSTOMER & CLIENT SOLUTIONS	Agile Office	req11730	29/05/2018 02:00	05/06/2018	Yes	0	Spain
CIB	Desarrollador Market Data Platform	req11780	01/06/2018 02:00	10/06/2018	Yes	0	Spain
BANCA DE EMPRESAS,INSTITUCIONES,CORPORATIVAS	DIRECCIÓN SEGMENTO PYMES	req11781	31/05/2018 02:00	17/06/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	DIRECCIÓN BANCA PRIVADA TERRITORIO	req11782	31/05/2018 02:00	17/06/2018	Yes	0	Spain
CIB	Analista de Work Out	req11783	01/06/2018 02:00	10/06/2018	Yes	0	CIUDAD BBVA
BANCA MINORISTA/RETAIL/RED	DIRECCIÓN CONTROL DE GESTIÓN TERRITORIO	req11784	31/05/2018 02:00	17/06/2018	Yes	0	Spain
FINANCE	JEFE EQUIPO CONTABILIDAD	req11909	04/06/2018 02:00	17/06/2018	Yes	0	MADRID-CIUDAD BBVA
BANCA MINORISTA/RETAIL/RED	BANQUERO PRIVADO PATRIMONIOS C	req11916	01/06/2018 02:00	10/06/2018	Yes	0	PAMPLONA-MERINDADES
BANCA MINORISTA/RETAIL/RED	DIRECTOR CBC 1 DT ESTE	req11987	01/06/2018 02:00	04/06/2018	Yes	0	D.T.ESTE
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 6 RED BC	req11990	04/06/2018 02:00	10/06/2018	Yes	0	ANDORRA DE TERUEL
CUSTOMER & CLIENT SOLUTIONS	SMEs Program Manager	req11992	04/06/2018 02:00	17/06/2018	Yes	0	Spain
BANCA MINORISTA/RETAIL/RED	GESTOR COMERCIAL CONTIGO CBC	req12068	04/06/2018 02:00	07/06/2018	Yes	0	V.VIVEROS-DR. MOLINE
BANCA MINORISTA/RETAIL/RED	GESTOR COMERCIAL CONTIGO CBC	req12069	04/06/2018 02:00		Yes	0	MAO-PL.EXPLANADA
BANCA MINORISTA/RETAIL/RED	GESTOR COMERCIAL CONTIGO CBC	req12070	04/06/2018 02:00	07/06/2018	Yes	0	PALMA M-PZA.OLIVAR
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL CONTIGO CBC	req12072	04/06/2018 02:00	07/06/2018	Yes	0	BENIDORM-PUENTE
ENGINEERING	Infosec Risk Assessment Countries	req5999	07/05/2018 02:00	14/05/2018	Yes	1	MADRID-CIUDAD BBVA
CUSTOMER & CLIENT SOLUTIONS	Customer Solution Engineering - Strategy & Control	01-47	16/05/2018 02:00	23/05/2018	Yes	1	Spain
ENGINEERING	ANALISTA TRANSFORMACIÓN CANALES	req9155	08/05/2018 02:00	24/05/2018	Yes	1	Spain
CIB	Risk and Reporting Analyst	req9703	07/05/2018 02:00	15/05/2018	Yes	1	CIUDAD BBVA
LEGAL & COMPLIANCE	LETRADO SENIOR DATA PROTECTION OFFICE	req9959	09/05/2018 02:00	23/05/2018	Yes	1	Spain
BANCA MINORISTA/RETAIL/RED	GESTOR COMERCIAL ASOCIADO - DT CANARIAS	req10085	07/05/2018 02:00	19/05/2018	Yes	1	Spain
BANCA MINORISTA/RETAIL/RED	GESTOR COMERCIAL ASOCIADO - DT CANARIAS	req10085	07/05/2018 02:00	19/05/2018	Yes	1	Las Palmas
BANCA MINORISTA/RETAIL/RED	GESTOR COMERCIAL ASOCIADO - DT CANARIAS	req10085	07/05/2018 02:00	19/05/2018	Yes	1	Sta Cruz de Tenerife
BANCA DE EMPRESAS,INSTITUCIONES,CORPORATIVAS	GESTOR RELACION II A - LANZAROTE	req10090	09/05/2018 02:00	10/05/2018	Yes	1	ARRECIFE
ENGINEERING	GCP_TEAM: Ingeniero de equipo	req10096	09/05/2018 02:00	18/05/2018	Yes	1	EDIF. VAGUADA
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 6 RED BC	req10097	07/05/2018 02:00	20/05/2018	Yes	1	La Rioja
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL 2 OFICINA	req10213	07/05/2018 02:00	20/05/2018	Yes	1	Teruel
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL 2 OFICINA	req10215	07/05/2018 02:00	20/05/2018	Yes	1	Gipuzkoa
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 7 RED BC	req10369	07/05/2018 02:00	20/05/2018	Yes	1	Araba/Álava
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 7 RED BC	req10370	07/05/2018 02:00	20/05/2018	Yes	1	Huesca
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 6 RED BC	req10374	07/05/2018 02:00	20/05/2018	Yes	1	Araba/Álava
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 5 RED BC	req10385	07/05/2018 02:00	20/05/2018	Yes	1	Teruel
BANCA MINORISTA/RETAIL/RED	GESTOR COMERCIAL CONTIGO CBC PROVINCIA ALICANTE	req10391	04/05/2018 02:00	11/05/2018	Yes	1	Alicante
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL OFICINA PROVINCIA ALICANTE	req10396	04/05/2018 02:00	11/05/2018	Yes	1	Alicante
BANCA MINORISTA/RETAIL/RED	GESTOR PYMES  CBC PROVINCIA CASTELLÓN	req10487	04/05/2018 02:00	11/05/2018	Yes	1	Castellón
BANCA MINORISTA/RETAIL/RED	GESTOR PYMES - LANZAROTE	req10532	22/05/2018 02:00	24/05/2018	Yes	1	ARRECIFE
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL - GRAN CANARIA	req10534	22/05/2018 02:00	24/05/2018	Yes	1	Las Palmas
ENGINEERING	MANAGER SOLUCIONES ARQUITECTURA (Canal Oficina)	req10547	31/05/2018 02:00	05/06/2018	Yes	1	Spain
CIB	Functional Monitoring Specialist	req10573	11/05/2018 02:00	20/05/2018	Yes	1	EDIF. LAS TABLAS III
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL CONTIGO - CBC FUENGIROLA	req10975	21/05/2018 02:00	28/05/2018	Yes	1	FUENGIROLA-ALFO.XIII
BANCA MINORISTA/RETAIL/RED	GESTOR PYMES CBC - PROVINCIA CÓRDOBA	req11237	21/05/2018 02:00	11/06/2018	Yes	1	Córdoba
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 6 BC - PROVINCIA CÓRDOBA	req11247	21/05/2018 02:00	11/06/2018	Yes	1	Córdoba
BANCA DE EMPRESAS,INSTITUCIONES,CORPORATIVAS	DIRECTOR CTA BCA CORPORATIVA - DR SUR	req11255	21/05/2018 02:00	18/06/2018	Yes	1	Sevilla
BANCA DE EMPRESAS,INSTITUCIONES,CORPORATIVAS	DTOR. DE RELACIÓN DE INSTITUCIONES SUR	req11256	21/05/2018 02:00	18/06/2018	Yes	1	Sevilla
DATA	DATA ANALYTICS TRANSFORMATION ESPECIALIST	req11303	23/05/2018 02:00	08/06/2018	Yes	1	Spain
ENGINEERING	Communications Architecture Manager	req6416	08/05/2018 02:00	22/05/2018	Yes	2	EDIF. VAGUADA
ENGINEERING	GRM/Finance/CFE Service Manager	req8951	30/05/2018 02:00	08/06/2018	Yes	2	EDIFICIO TRES CANTOS
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 7 RED BC	req9924	07/05/2018 02:00	20/05/2018	Yes	2	Cantabria
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL CONTIGO PROVINCIA ALICANTE	req10003	04/05/2018 02:00	11/05/2018	Yes	2	Alicante
BANCA MINORISTA/RETAIL/RED	DIRECTOR COMERCIAL CONTIGO PROVINCIA ALICANTE	req10016	04/05/2018 02:00	11/05/2018	Yes	2	Alicante
BANCA DE EMPRESAS,INSTITUCIONES,CORPORATIVAS	GESTOR RELACION II A - GRAN CANARIA	req10088	09/05/2018 02:00	11/05/2018	Yes	2	Las Palmas
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 6 RED BC	req10093	07/05/2018 02:00	20/05/2018	Yes	2	Cantabria
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 4 RED BC	req10110	07/05/2018 02:00	20/05/2018	Yes	2	Navarra
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL 2 OFICINA	req10216	07/05/2018 02:00	20/05/2018	Yes	2	Araba/Álava
BANCA MINORISTA/RETAIL/RED	GESTOR BANCA PERSONAL 2 OFICINA	req10227	07/05/2018 02:00	20/05/2018	Yes	2	Huesca
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 6 RED BC	req10375	07/05/2018 02:00	20/05/2018	Yes	2	Huesca
BANCA MINORISTA/RETAIL/RED	DIRECTOR DE OFICINA 5 RED BC	req10383	07/05/2018 02:00	20/05/2018	Yes	2	Huesca
ENGINEERING	MANAGER SOLUCIONES ARQUITECTURA (sdm, financiación Banca Privada)	req10548	07/05/2018 02:00	21/05/2018	Yes	2	Spain
ENGINEERING	MANAGER SOLUCIONES ARQUITECTURA (NETCASH)	req10549	07/05/2018 02:00	21/05/2018	Yes	2	Spain
ENGINEERING	ARQUITECTO WOKPLACE	req10619	08/05/2018 02:00	18/05/2018	Yes	2	Spain
CIB	Long Term Government Bonds Trader	req10846	24/05/2018 02:00	02/06/2018	Yes	2	Spain
ENGINEERING	IT Workplace Manager	req8817	22/05/2018 02:00	01/06/2018	Yes	3	EDIFICIO TRES CANTOS
ENGINEERING	Data Processing Transformation Program Leader	req9689	22/05/2018 02:00	01/06/2018	Yes	3	EDIFICIO TRES CANTOS
